HTAG,B365H,HomeTeam,HTHG,FTHG,B365D,HTR,FTR,AwayTeam,FTAG,Date,B365A
1,2.8,Udinese,0,0,2.9,A,A,Torino,2,16/03/2024,2.8
1,2.9,Salernitana,0,0,3.2,A,A,Lecce,1,16/03/2024,2.5
1,3.5,Frosinone,1,2,3.4,D,A,Lazio,3,16/03/2024,2.15
0,1.5,Juventus,0,0,4.0,D,D,Genoa,0,17/03/2024,7.0
1,5.25,Verona,0,1,3.75,A,A,Milan,3,17/03/2024,1.7
0,1.36,Roma,0,1,4.75,D,H,Sassuolo,0,17/03/2024,8.0
0,1.57,Inter,1,1,4.0,H,D,Napoli,1,17/03/2024,6.0
2,2.1,Napoli,0,0,3.6,A,A,Atalanta,3,30/03/2024,3.4
1,1.95,Genoa,1,1,3.6,D,D,Frosinone,1,30/03/2024,3.8
0,1.83,Torino,0,1,3.4,D,H,Monza,0,30/03/2024,4.75
0,3.1,Lazio,0,1,3.1,D,H,Juventus,0,30/03/2024,2.45
0,2.88,Fiorentina,0,1,3.3,D,A,Milan,2,30/03/2024,2.5
0,1.3,Bologna,2,3,5.5,H,H,Salernitana,0,01/04/2024,10.0
1,2.15,Cagliari,0,1,3.2,A,D,Verona,1,01/04/2024,3.6
1,2.75,Sassuolo,1,1,3.25,D,D,Udinese,1,01/04/2024,2.6
0,4.5,Lecce,0,0,3.5,D,D,Roma,0,01/04/2024,1.83
0,1.22,Inter,1,2,7.0,H,H,Empoli,0,01/04/2024,12.0
2,3.25,Salernitana,0,2,3.5,A,D,Sassuolo,2,05/04/2024,2.2
0,1.36,Milan,2,3,4.75,H,H,Lecce,0,06/04/2024,8.5
0,2.2,Roma,1,1,3.1,H,H,Lazio,0,06/04/2024,3.6
0,3.5,Empoli,1,3,3.2,H,H,Torino,2,06/04/2024,2.25
0,4.2,Frosinone,0,0,3.5,D,D,Bologna,0,07/04/2024,1.91
0,4.0,Monza,1,2,3.8,H,A,Napoli,4,07/04/2024,1.85
1,4.75,Cagliari,1,2,3.8,D,H,Atalanta,1,07/04/2024,1.73
1,2.75,Verona,1,1,3.0,D,A,Genoa,2,07/04/2024,2.8
0,1.83,Juventus,1,1,3.4,H,H,Fiorentina,0,07/04/2024,4.75
0,6.5,Udinese,1,1,4.5,H,A,Inter,2,08/04/2024,1.5
1,1.33,Lazio,3,4,5.0,H,H,Salernitana,1,12/04/2024,9.5
0,2.25,Lecce,0,1,3.1,D,H,Empoli,0,13/04/2024,3.6
0,3.75,Torino,0,0,3.0,D,D,Juventus,0,13/04/2024,2.2
0,1.55,Bologna,0,0,4.0,D,D,Monza,0,13/04/2024,6.5
0,1.33,Napoli,1,2,5.5,H,D,Frosinone,2,14/04/2024,8.0
1,4.5,Sassuolo,2,3,3.8,H,D,Milan,3,14/04/2024,1.75
0,1.18,Inter,1,2,8.0,H,D,Cagliari,2,14/04/2024,12.0
1,1.85,Fiorentina,0,1,3.5,A,D,Genoa,1,15/04/2024,4.33
0,1.45,Atalanta,2,2,4.5,H,D,Verona,2,15/04/2024,7.0
0,3.1,Genoa,0,0,3.1,D,A,Lazio,1,19/04/2024,2.45
0,5.0,Cagliari,2,2,3.5,H,D,Juventus,2,19/04/2024,1.75
0,4.75,Empoli,1,1,4.0,H,H,Napoli,0,20/04/2024,1.7
0,2.55,Verona,0,1,3.1,D,H,Udinese,0,20/04/2024,3.0
2,2.3,Sassuolo,0,0,3.3,A,A,Lecce,3,21/04/2024,3.2
0,1.67,Torino,0,0,3.8,D,D,Frosinone,0,21/04/2024,5.25
0,5.0,Salernitana,0,0,4.0,D,A,Fiorentina,2,21/04/2024,1.67
1,4.0,Monza,0,1,3.8,A,A,Atalanta,2,21/04/2024,1.85
2,2.4,Roma,0,1,3.1,A,A,Bologna,3,22/04/2024,3.2
1,3.75,Milan,0,1,3.6,A,A,Inter,2,22/04/2024,2.0
0,3.3,Udinese,1,1,3.4,H,A,Roma,2,25/04/2024,2.15
0,1.4,Frosinone,2,3,4.75,H,H,Salernitana,0,26/04/2024,7.5
0,2.0,Lecce,0,1,3.25,D,D,Monza,1,27/04/2024,4.0
0,2.1,Juventus,0,0,3.3,D,D,Milan,0,27/04/2024,3.6
0,1.62,Lazio,0,1,3.8,D,H,Verona,0,27/04/2024,6.0
0,1.53,Inter,0,2,3.8,D,H,Torino,0,28/04/2024,7.0
1,1.6,Bologna,0,1,3.8,A,D,Udinese,1,28/04/2024,6.0
0,1.44,Atalanta,1,2,4.5,H,H,Empoli,0,28/04/2024,7.5
0,1.95,Napoli,0,2,3.6,D,D,Roma,2,28/04/2024,4.0
0,1.7,Fiorentina,1,5,3.8,H,H,Sassuolo,1,28/04/2024,5.0
0,2.25,Genoa,2,3,3.1,H,H,Cagliari,0,29/04/2024,3.5
0,2.88,Torino,0,0,2.8,D,D,Bologna,0,03/05/2024,2.88
1,4.33,Monza,0,2,3.75,A,D,Lazio,2,04/05/2024,1.83
0,6.0,Sassuolo,1,1,4.5,H,H,Inter,0,04/05/2024,1.5
0,2.15,Cagliari,1,1,3.2,H,D,Lecce,1,05/05/2024,3.75
0,2.38,Empoli,0,0,3.3,D,D,Frosinone,0,05/05/2024,3.1
1,3.1,Verona,1,2,3.3,D,H,Fiorentina,1,05/05/2024,2.3
1,1.45,Milan,1,3,4.5,D,D,Genoa,3,05/05/2024,6.5
1,2.88,Roma,1,1,3.1,D,D,Juventus,1,05/05/2024,2.7
0,7.5,Salernitana,1,1,5.5,H,A,Atalanta,2,06/05/2024,1.36
0,3.75,Udinese,0,1,3.6,D,D,Napoli,1,06/05/2024,1.95
1,4.5,Frosinone,0,0,4.0,A,A,Inter,5,10/05/2024,1.73
2,2.1,Napoli,0,0,3.4,A,A,Bologna,2,11/05/2024,3.5
0,1.4,Milan,1,5,5.25,H,H,Cagliari,1,11/05/2024,6.5
0,1.57,Lazio,1,2,4.0,H,H,Empoli,0,12/05/2024,5.75
1,2.2,Genoa,0,2,3.5,A,H,Sassuolo,1,12/05/2024,3.2
0,3.0,Verona,0,1,3.0,D,A,Torino,2,12/05/2024,2.55
1,1.14,Juventus,0,1,8.5,A,D,Salernitana,1,12/05/2024,17.0
0,2.0,Atalanta,2,2,3.6,H,H,Roma,1,12/05/2024,3.6
1,2.63,Lecce,0,0,3.1,A,A,Udinese,2,13/05/2024,2.8
1,1.55,Fiorentina,1,2,4.2,D,H,Monza,1,13/05/2024,5.75
1,2.25,Fiorentina,2,2,3.4,H,D,Napoli,2,17/05/2024,3.1
0,4.5,Lecce,0,0,3.8,D,A,Atalanta,2,18/05/2024,1.75
0,2.8,Torino,2,3,3.2,H,H,Milan,1,18/05/2024,2.6
0,2.35,Sassuolo,0,0,3.3,D,A,Cagliari,2,19/05/2024,3.1
1,3.0,Monza,0,0,3.4,A,A,Frosinone,1,19/05/2024,2.3
0,2.0,Udinese,0,1,3.4,D,D,Empoli,1,19/05/2024,3.8
1,1.62,Inter,0,1,4.0,A,D,Lazio,1,19/05/2024,5.0
0,1.48,Roma,0,1,4.2,D,H,Genoa,0,19/05/2024,7.0
2,5.0,Salernitana,0,1,3.8,A,A,Verona,2,20/05/2024,1.7
0,2.45,Bologna,2,3,3.1,H,D,Juventus,3,20/05/2024,3.1
1,4.2,Cagliari,0,2,3.75,A,A,Fiorentina,3,23/05/2024,1.8
0,3.4,Genoa,1,2,3.4,H,H,Bologna,0,24/05/2024,2.15
0,1.33,Juventus,2,2,5.5,H,H,Monza,0,25/05/2024,8.5
0,1.18,Milan,2,3,8.0,H,D,Salernitana,3,25/05/2024,12.0
0,3.3,Atalanta,2,3,3.5,H,H,Torino,0,26/05/2024,2.1
0,1.42,Napoli,0,0,5.0,D,D,Lecce,0,26/05/2024,6.25
1,1.95,Empoli,1,2,3.6,D,H,Roma,1,26/05/2024,3.6
0,2.38,Frosinone,0,0,3.25,D,A,Udinese,1,26/05/2024,3.0
0,1.36,Lazio,0,1,5.25,D,D,Sassuolo,1,26/05/2024,7.5
2,5.5,Verona,2,2,4.0,D,D,Inter,2,26/05/2024,1.53
3,1.48,Atalanta,2,2,4.75,A,A,Fiorentina,3,02/06/2024,6.0
1,6.5,Genoa,1,2,4.0,D,D,Inter,2,17/08/2024,1.53
0,3.5,Parma,1,1,3.2,H,D,Fiorentina,1,17/08/2024,2.2
0,2.5,Empoli,0,0,3.2,D,D,Monza,0,17/08/2024,3.0
1,1.62,Milan,0,2,3.8,A,D,Torino,2,17/08/2024,5.75
0,1.91,Bologna,0,1,3.4,D,D,Udinese,1,18/08/2024,4.33
0,4.75,Verona,0,3,3.6,D,H,Napoli,0,18/08/2024,1.75
0,4.1,Cagliari,0,0,3.4,D,D,Roma,0,18/08/2024,1.95
1,1.48,Lazio,2,3,4.1,H,H,Venezia,1,18/08/2024,7.5
2,4.2,Lecce,0,0,3.7,A,A,Atalanta,4,19/08/2024,1.85
0,1.33,Juventus,2,3,5.0,H,H,Como,0,19/08/2024,9.5
0,4.75,Parma,1,2,3.9,H,H,Milan,1,24/08/2024,1.7
0,3.3,Udinese,1,2,3.1,H,H,Lazio,1,24/08/2024,2.35
0,1.2,Inter,1,2,7.0,H,H,Lecce,0,24/08/2024,13.0
1,2.6,Monza,0,0,3.1,A,A,Genoa,1,24/08/2024,2.88
0,1.42,Fiorentina,0,0,4.75,D,D,Venezia,0,25/08/2024,7.0
1,3.2,Torino,1,2,3.1,D,H,Atalanta,1,25/08/2024,2.38
0,1.9,Napoli,1,3,3.5,H,H,Bologna,0,25/08/2024,4.1
1,1.5,Roma,0,1,4.33,A,A,Empoli,2,25/08/2024,6.5
0,2.1,Cagliari,1,1,3.4,H,D,Como,1,26/08/2024,3.4
2,5.25,Verona,0,0,3.75,A,A,Juventus,3,26/08/2024,1.67
0,3.4,Venezia,0,0,3.3,D,A,Torino,1,30/08/2024,2.2
0,1.57,Inter,2,4,4.33,H,H,Atalanta,0,30/08/2024,5.5
1,1.62,Bologna,1,1,3.75,D,D,Empoli,1,31/08/2024,6.0
0,2.25,Lecce,1,1,3.2,H,H,Cagliari,0,31/08/2024,3.4
1,2.9,Lazio,0,2,3.4,A,D,Milan,2,31/08/2024,2.4
1,1.48,Napoli,0,2,4.33,A,H,Parma,1,31/08/2024,7.0
2,1.67,Fiorentina,1,2,3.9,A,D,Monza,2,01/09/2024,5.0
0,2.0,Genoa,0,0,3.3,D,A,Verona,2,01/09/2024,4.0
0,1.75,Juventus,0,0,3.6,D,D,Roma,0,01/09/2024,5.0
0,2.05,Udinese,1,1,3.4,H,H,Como,0,01/09/2024,3.75
0,3.0,Como,1,2,3.25,H,D,Bologna,2,14/09/2024,2.45
0,5.25,Empoli,0,0,3.6,D,D,Juventus,0,14/09/2024,1.7
0,1.3,Milan,4,4,5.75,H,H,Venezia,0,14/09/2024,9.0
1,3.25,Genoa,0,1,3.3,A,D,Roma,1,15/09/2024,2.25
2,1.8,Atalanta,3,3,3.6,H,H,Fiorentina,2,15/09/2024,4.5
0,1.8,Torino,0,0,3.5,D,D,Lecce,0,15/09/2024,4.75
1,4.33,Cagliari,0,0,3.75,A,A,Napoli,4,15/09/2024,1.8
0,8.0,Monza,0,1,4.75,D,D,Inter,1,15/09/2024,1.4
0,2.25,Parma,2,2,3.4,H,A,Udinese,3,16/09/2024,3.2
1,1.62,Lazio,2,2,3.8,H,H,Verona,1,16/09/2024,6.0
1,2.15,Cagliari,0,0,3.4,A,A,Empoli,2,20/09/2024,3.4
2,2.7,Verona,1,2,3.0,A,A,Torino,3,20/09/2024,2.8
0,3.25,Venezia,0,2,3.2,D,H,Genoa,0,21/09/2024,2.35
0,2.2,Juventus,0,0,3.4,D,D,Napoli,0,21/09/2024,3.3
0,2.2,Lecce,1,2,3.5,H,D,Parma,2,21/09/2024,3.25
1,2.25,Fiorentina,0,2,3.4,A,H,Lazio,1,22/09/2024,3.2
1,3.3,Monza,1,1,3.1,D,A,Bologna,2,22/09/2024,2.4
0,1.62,Roma,1,3,4.2,H,H,Udinese,0,22/09/2024,5.25
1,1.65,Inter,1,1,4.0,D,A,Milan,2,22/09/2024,5.25
0,1.44,Atalanta,1,2,4.5,H,A,Como,3,24/09/2024,7.0
0,1.33,Milan,3,3,5.75,H,H,Lecce,0,27/09/2024,8.0
2,7.0,Udinese,1,2,4.33,A,A,Inter,3,28/09/2024,1.48
0,5.5,Genoa,0,0,3.5,D,A,Juventus,3,28/09/2024,1.7
0,3.0,Bologna,0,1,3.3,D,D,Atalanta,1,28/09/2024,2.4
1,2.9,Torino,0,2,3.1,A,A,Lazio,3,29/09/2024,2.55
0,2.1,Como,1,3,3.4,H,H,Verona,2,29/09/2024,3.6
1,1.4,Roma,0,2,4.75,A,H,Venezia,1,29/09/2024,8.0
0,3.4,Empoli,0,0,3.3,D,D,Fiorentina,0,29/09/2024,2.2
0,1.36,Napoli,2,2,5.0,H,H,Monza,0,29/09/2024,8.5
1,2.1,Parma,0,2,3.6,A,A,Cagliari,3,30/09/2024,3.4
1,1.45,Napoli,1,3,4.33,D,H,Como,1,04/10/2024,7.0
1,2.5,Verona,1,2,3.2,D,H,Venezia,1,04/10/2024,2.9
0,2.2,Udinese,0,1,3.3,D,H,Lecce,0,05/10/2024,3.3
0,1.45,Atalanta,1,5,4.75,H,H,Genoa,1,05/10/2024,6.5
1,1.3,Inter,2,3,5.0,H,H,Torino,2,05/10/2024,11.0
0,1.38,Juventus,1,1,5.0,H,D,Cagliari,1,06/10/2024,8.0
0,1.8,Bologna,0,0,3.7,D,D,Parma,0,06/10/2024,4.33
1,1.57,Lazio,1,2,4.0,D,H,Empoli,1,06/10/2024,6.0
0,4.2,Monza,0,1,3.4,D,D,Roma,1,06/10/2024,1.91
0,3.1,Fiorentina,1,2,3.6,H,H,Milan,1,06/10/2024,2.2
1,1.95,Como,1,1,3.6,D,D,Parma,1,19/10/2024,3.8
1,3.75,Genoa,0,2,3.1,A,D,Bologna,2,19/10/2024,2.15
0,1.38,Milan,1,1,4.75,H,H,Udinese,0,19/10/2024,8.5
0,2.05,Juventus,0,1,3.3,D,H,Lazio,0,19/10/2024,3.8
0,6.0,Empoli,0,0,3.5,D,A,Napoli,1,20/10/2024,1.67
3,3.2,Lecce,0,0,3.3,A,A,Fiorentina,6,20/10/2024,2.3
1,5.5,Venezia,0,0,4.0,A,A,Atalanta,2,20/10/2024,1.62
1,2.8,Cagliari,1,3,3.1,D,H,Torino,2,20/10/2024,2.7
0,4.2,Roma,0,0,3.7,D,A,Inter,1,20/10/2024,1.85
1,2.3,Verona,0,0,3.0,A,A,Monza,3,21/10/2024,3.5
0,2.2,Udinese,1,2,3.3,H,H,Cagliari,0,25/10/2024,3.3
0,2.63,Torino,0,1,3.0,D,H,Como,0,25/10/2024,2.9
0,1.25,Napoli,0,1,6.0,D,H,Lecce,0,26/10/2024,12.0
1,1.38,Atalanta,5,6,4.75,H,H,Verona,1,26/10/2024,8.0
1,2.15,Parma,0,1,3.3,A,D,Empoli,1,27/10/2024,3.5
0,1.53,Lazio,1,3,4.2,H,H,Genoa,0,27/10/2024,6.25
2,2.15,Monza,2,2,3.25,D,D,Venezia,2,27/10/2024,3.6
2,1.72,Inter,3,4,3.5,H,D,Juventus,4,27/10/2024,5.0
1,2.55,Fiorentina,3,5,3.4,H,H,Roma,1,27/10/2024,2.75
1,3.0,Cagliari,0,0,3.25,A,A,Bologna,2,29/10/2024,2.35
0,2.25,Lecce,0,1,3.25,D,H,Verona,0,29/10/2024,3.25
2,2.45,Milan,0,0,3.4,A,A,Napoli,2,29/10/2024,2.8
0,7.5,Empoli,0,0,4.33,D,A,Inter,3,30/10/2024,1.44
2,2.7,Venezia,1,3,3.25,A,H,Udinese,2,30/10/2024,2.65
0,1.3,Atalanta,0,2,5.0,D,H,Monza,0,30/10/2024,10.0
2,1.4,Juventus,1,2,4.75,A,D,Parma,2,30/10/2024,8.0
0,4.2,Genoa,0,0,3.9,D,A,Fiorentina,1,31/10/2024,1.8
2,2.88,Como,0,1,3.3,A,A,Lazio,5,31/10/2024,2.45
0,1.7,Roma,1,1,3.8,H,H,Torino,0,31/10/2024,5.0
0,1.62,Bologna,0,1,3.5,D,H,Lecce,0,02/11/2024,6.5
2,4.2,Udinese,0,0,3.2,A,A,Juventus,2,02/11/2024,1.95
1,5.0,Monza,0,0,3.6,A,A,Milan,1,02/11/2024,1.7
2,2.05,Napoli,0,0,3.4,A,A,Atalanta,3,03/11/2024,3.7
1,3.2,Torino,0,0,3.3,A,A,Fiorentina,1,03/11/2024,2.25
1,5.0,Verona,2,3,3.5,H,H,Roma,2,03/11/2024,1.8
0,1.17,Inter,0,1,7.0,D,H,Venezia,0,03/11/2024,15.0
0,2.7,Empoli,0,1,3.1,D,H,Como,0,04/11/2024,2.63
0,1.85,Parma,0,0,3.4,D,A,Genoa,1,04/11/2024,4.33
1,1.5,Lazio,1,2,3.75,D,H,Cagliari,1,04/11/2024,7.5
1,2.88,Genoa,0,1,3.3,A,D,Como,1,07/11/2024,2.45
1,2.4,Lecce,0,1,3.0,A,D,Empoli,1,08/11/2024,3.3
1,2.55,Venezia,1,1,3.4,D,A,Parma,2,09/11/2024,2.7
2,5.5,Cagliari,1,3,4.1,A,D,Milan,3,09/11/2024,1.6
0,1.57,Juventus,1,2,3.8,H,H,Torino,0,09/11/2024,6.5
1,1.38,Atalanta,0,2,5.0,A,H,Udinese,1,10/11/2024,7.5
1,1.44,Fiorentina,1,3,4.5,D,H,Verona,1,10/11/2024,7.0
1,2.05,Roma,0,2,3.4,A,A,Bologna,3,10/11/2024,3.6
1,4.1,Monza,0,0,3.8,A,A,Lazio,1,10/11/2024,1.83
1,1.85,Inter,1,1,3.7,D,D,Napoli,1,10/11/2024,4.1
5,7.0,Verona,0,0,5.25,A,A,Inter,5,23/11/2024,1.38
0,2.15,Milan,0,0,3.3,D,D,Juventus,0,23/11/2024,3.5
2,5.0,Parma,0,1,4.2,A,A,Atalanta,3,23/11/2024,1.62
1,2.63,Genoa,1,2,3.1,D,D,Cagliari,2,24/11/2024,2.9
1,3.3,Como,0,0,3.1,A,A,Fiorentina,2,24/11/2024,2.3
0,2.0,Torino,0,1,3.0,D,D,Monza,1,24/11/2024,4.33
0,1.73,Napoli,0,1,3.6,D,H,Roma,0,24/11/2024,5.0
0,1.9,Lazio,0,3,3.5,D,H,Bologna,0,24/11/2024,4.2
0,2.8,Empoli,1,1,2.9,H,D,Udinese,1,25/11/2024,2.8
0,2.3,Venezia,0,0,3.25,D,A,Lecce,1,25/11/2024,3.2
0,1.91,Cagliari,0,1,3.4,D,H,Verona,0,29/11/2024,4.1
0,2.0,Como,1,1,3.25,H,D,Monza,1,30/11/2024,3.9
0,1.36,Milan,2,3,4.75,H,H,Empoli,0,30/11/2024,9.0
0,1.65,Bologna,1,3,3.9,H,H,Venezia,0,30/11/2024,5.25
1,2.0,Udinese,0,0,3.3,A,A,Genoa,2,01/12/2024,4.0
0,4.2,Parma,1,3,3.8,H,H,Lazio,1,01/12/2024,1.8
1,5.0,Torino,0,0,3.4,A,A,Napoli,1,01/12/2024,1.8
0,5.25,Lecce,0,1,3.6,D,D,Juventus,1,01/12/2024,1.7
0,3.2,Roma,0,0,3.5,D,A,Atalanta,2,02/12/2024,2.2
0,1.18,Inter,1,3,7.0,H,H,Parma,1,06/12/2024,15.0
1,2.15,Atalanta,1,2,3.4,D,H,Milan,1,06/12/2024,3.3
0,2.5,Genoa,0,0,3.1,D,D,Torino,0,07/12/2024,3.0
1,1.7,Juventus,0,2,3.6,A,D,Bologna,2,07/12/2024,5.25
1,1.57,Roma,1,4,4.0,D,H,Lecce,1,07/12/2024,6.25
0,1.5,Fiorentina,1,1,4.5,H,H,Cagliari,0,08/12/2024,6.0
4,2.63,Verona,1,1,2.75,A,A,Empoli,4,08/12/2024,3.25
0,2.75,Venezia,1,2,3.3,H,D,Como,2,08/12/2024,2.6
0,1.9,Napoli,0,0,3.4,D,A,Lazio,1,08/12/2024,4.33
1,2.7,Monza,0,1,3.0,A,A,Udinese,2,09/12/2024,2.88
0,2.7,Empoli,0,0,2.88,D,A,Torino,1,13/12/2024,3.0
0,5.5,Cagliari,0,0,4.33,D,A,Atalanta,1,14/12/2024,1.55
0,5.25,Udinese,1,1,3.5,H,A,Napoli,3,14/12/2024,1.73
0,1.3,Juventus,1,2,5.25,H,D,Venezia,2,14/12/2024,9.0
1,2.45,Lecce,2,2,3.0,H,H,Monza,1,15/12/2024,3.2
0,2.7,Bologna,0,1,3.1,D,H,Fiorentina,0,15/12/2024,2.75
1,1.85,Parma,1,2,3.75,D,A,Verona,3,15/12/2024,4.0
0,3.25,Como,0,2,3.4,D,H,Roma,0,15/12/2024,2.2
0,1.33,Milan,0,0,5.25,D,D,Genoa,0,15/12/2024,8.0
2,3.6,Lazio,0,0,3.4,A,A,Inter,6,16/12/2024,2.1
0,5.5,Verona,0,0,4.1,D,A,Milan,1,20/12/2024,1.57
0,3.3,Torino,0,0,2.9,D,A,Bologna,2,21/12/2024,2.45
2,5.25,Genoa,0,1,3.6,A,A,Napoli,2,21/12/2024,1.7
1,5.0,Lecce,0,1,3.6,A,A,Lazio,2,21/12/2024,1.73
0,1.53,Roma,2,5,4.2,H,H,Parma,0,22/12/2024,6.25
0,2.5,Venezia,1,2,3.3,H,H,Cagliari,1,22/12/2024,2.88
1,1.29,Atalanta,2,3,5.5,H,H,Empoli,2,22/12/2024,11.0
2,6.25,Monza,1,1,3.5,A,A,Juventus,2,22/12/2024,1.65
0,1.6,Fiorentina,1,1,3.8,H,A,Udinese,2,23/12/2024,6.0
0,1.2,Inter,0,2,6.5,D,H,Como,0,23/12/2024,15.0
0,2.55,Empoli,0,1,2.9,D,A,Genoa,2,28/12/2024,3.1
0,2.3,Parma,0,2,3.5,D,H,Monza,1,28/12/2024,3.0
0,6.5,Cagliari,0,0,4.75,D,A,Inter,3,28/12/2024,1.44
0,3.0,Lazio,1,1,3.3,H,D,Atalanta,1,28/12/2024,2.4
0,2.25,Udinese,1,2,3.1,H,D,Torino,2,29/12/2024,3.5
0,1.27,Napoli,0,1,5.5,D,H,Venezia,0,29/12/2024,11.0
1,1.95,Juventus,1,2,3.3,D,D,Fiorentina,2,29/12/2024,4.2
1,2.25,Milan,1,1,3.4,D,D,Roma,1,29/12/2024,3.2
0,1.7,Como,0,2,3.7,D,H,Lecce,0,30/12/2024,5.0
2,1.5,Bologna,1,2,4.1,A,A,Verona,3,30/12/2024,7.0
1,2.3,Venezia,1,1,3.1,D,D,Empoli,1,04/01/2025,3.4
1,2.88,Fiorentina,0,0,3.25,A,A,Napoli,3,04/01/2025,2.55
0,3.0,Verona,0,0,3.0,D,D,Udinese,0,04/01/2025,2.55
1,2.4,Monza,1,1,3.25,D,A,Cagliari,2,05/01/2025,3.0
0,2.63,Lecce,0,0,3.0,D,D,Genoa,0,05/01/2025,2.9
0,1.85,Torino,0,0,3.4,D,D,Parma,0,05/01/2025,4.5
0,2.55,Roma,2,2,3.1,H,H,Lazio,0,05/01/2025,3.0
0,1.9,Lazio,1,1,3.4,H,D,Como,1,10/01/2025,4.2
2,2.0,Empoli,0,1,3.1,A,A,Lecce,3,11/01/2025,4.33
0,5.25,Udinese,0,0,3.8,D,D,Atalanta,0,11/01/2025,1.65
1,5.0,Torino,1,1,3.2,D,D,Juventus,1,11/01/2025,1.8
0,1.33,Milan,0,1,5.0,D,D,Cagliari,1,11/01/2025,9.5
